fecha	banda	reflec
2021-05-31	B08	0.01683333333333333
2021-05-31	B8A	0.01443333333333333
2021-05-31	B11	0.01956666666666666
2021-05-31	B12	0.01416666666666666
2021-06-05	B01	0.8787
2021-06-05	B02	0.7546666666666666
2021-06-05	B03	0.7374666666666667
2021-06-05	B04	0.7138666666666666
2021-06-05	B05	0.7894666666666666
2021-06-05	B06	0.7458666666666667
2021-06-05	B07	0.7116
2021-06-05	B08	0.7045333333333333
2021-06-05	B8A	0.6892333333333333
2021-06-05	B11	0.594
2021-06-05	B12	0.5539
2021-06-10	B01	0.01103333333333333
2021-06-10	B02	0.0154
2021-06-10	B03	0.0366
2021-06-10	B04	0.0185
2021-06-10	B05	0.03866666666666667
2021-06-10	B06	0.01383333333333333
2021-06-10	B07	0.02013333333333333
2021-06-10	B08	0.01556666666666666
2021-06-10	B8A	0.01423333333333333
2021-06-10	B11	0.01663333333333333
2021-06-10	B12	0.01213333333333333
2021-06-15	B01	0.8680333333333333
2021-06-15	B02	0.6426666666666667
2021-06-15	B03	0.6043999999999999
2021-06-15	B04	0.5658666666666666
2021-06-15	B05	0.5633666666666667
2021-06-15	B06	0.5794666666666667
2021-06-15	B07	0.5987333333333333
2021-06-15	B08	0.5657333333333333
2021-06-15	B8A	0.6079666666666667
2021-06-15	B11	0.4471333333333333
2021-06-15	B12	0.35886666666666667
2021-06-20	B01	0.02006666666666666
2021-06-20	B02	0.0202
2021-06-20	B03	0.03983333333333333
2021-06-20	B04	0.0228
2021-06-20	B05	0.0381
2021-06-20	B06	0.02233333333333333
2021-06-20	B07	0.0197
2021-06-20	B08	0.02396666666666666
2021-06-20	B8A	0.0221
2021-06-20	B11	0.02106666666666666
2021-06-20	B12	0.016
2021-06-25	B01	0.6664
2021-06-25	B02	0.6452
2021-06-25	B03	0.6464
2021-06-25	B04	0.6342666666666666
2021-06-25	B05	0.6639333333333334
2021-06-25	B06	0.7036
2021-06-25	B07	0.7098333333333333
2021-06-25	B08	0.7409333333333333
2021-06-25	B8A	0.7247333333333333
2021-06-25	B11	0.6481333333333333
2021-06-25	B12	0.6196333333333334
2021-06-30	B01	0.00166666666666666
2021-06-30	B02	0.00326666666666666
2021-06-30	B03	0.02256666666666666
2021-06-30	B04	0.01356666666666666
2021-06-30	B05	0.02463333333333333
2021-06-30	B06	0.00866666666666666
2021-06-30	B07	0.0077
2021-06-30	B08	0.00633333333333333
2021-06-30	B8A	0.00513333333333333
2021-06-30	B11	0.01666666666666666
2021-06-30	B12	0.0108
2021-07-05	B01	0.9062666666666668
2021-07-05	B02	0.7898666666666667
2021-07-05	B03	0.7704
2021-07-05	B04	0.7773333333333333
2021-07-05	B05	0.8015333333333333
2021-07-05	B06	0.7994333333333333
2021-07-05	B07	0.7942666666666667
2021-07-05	B08	0.7613333333333333
2021-07-05	B8A	0.7933333333333333
2021-07-05	B11	0.6918333333333333
2021-07-05	B12	0.6727
2021-07-10	B01	0.03896666666666667
2021-07-10	B02	0.04426666666666667
2021-07-10	B03	0.07083333333333333
2021-07-10	B04	0.04413333333333333
2021-07-10	B05	0.04783333333333333
2021-07-10	B06	0.02816666666666666
2021-07-10	B07	0.03086666666666666
2021-07-10	B08	0.05296666666666667
2021-07-10	B8A	0.0283
2021-07-10	B11	0.03243333333333333
2021-07-10	B12	0.01979999999999999
2021-07-15	B01	0.15383333333333332
2021-07-15	B02	0.1255
2021-07-15	B03	0.129
2021-07-15	B04	0.1134
2021-07-15	B05	0.13196666666666668
2021-07-15	B06	0.1555
2021-07-15	B07	0.16463333333333333
2021-07-15	B08	0.15773333333333334
2021-07-15	B8A	0.17216666666666666
2021-07-15	B11	0.15433333333333332
2021-07-15	B12	0.14116666666666666
2021-07-20	B01	0.8481666666666666
2021-07-20	B02	0.8099999999999999
2021-07-20	B03	0.7466666666666667
2021-07-20	B04	0.7005333333333333
2021-07-20	B05	0.6933
2021-07-20	B06	0.6600666666666667
2021-07-20	B07	0.6459666666666667
2021-07-20	B08	0.6868
2021-07-20	B8A	0.6258
2021-07-20	B11	0.48136666666666666
2021-07-20	B12	0.4108
2021-07-25	B01	0.01826666666666666
2021-07-25	B02	0.0166
2021-07-25	B03	0.0314
2021-07-25	B04	0.02316666666666666
2021-07-25	B05	0.02736666666666666
2021-07-25	B06	0.02036666666666667
2021-07-25	B07	0.0204
2021-07-25	B08	0.02026666666666666
2021-07-25	B8A	0.02133333333333333
