fecha	param	LR1	LR2	LR3	LT
2021-03-27	B03	0.9072	0.9032	0.912	0.9768
2021-03-27	B04	0.9032	0.904	0.9128	0.9768
2021-03-27	B05	0.8752	0.8871	0.8826	0.9481
2021-03-27	B06	0.8837	0.8843	0.8881	0.949
2021-03-27	B07	0.8777	0.8843	0.8851	0.9569
2021-03-27	B08	0.9456	0.948	0.9496	1.0352
2021-03-27	B8A	0.8705	0.8779	0.8726	0.9448
2021-03-27	B11	0.2283	0.2304	0.2323	0.2663
2021-03-27	B12	0.2584	0.2624	0.2643	0.2983
2021-04-01	B01	0.0025	0.0077	0.0074	0.0511
2021-04-01	B02	0.0025	0.0012	0.0013	0.0839
2021-04-01	B03	0.0085	0.0097	0.0105	0.139
2021-04-01	B04	0.0063	0.0072	0.0085	0.2056
2021-04-01	B05	0.011	0.0152	0.0118	0.2163
2021-04-01	B06	0.0018	0.0108	0.0077	0.1714
2021-04-01	B07	0.0079	0.0076	0.0108	0.1807
2021-04-01	B08	0.0084	0.0103	0.0088	0.1614
2021-04-01	B8A	0.0052	0.0127	0.0095	0.1424
2021-04-01	B11	0.0154	0.029	0.0212	0.0203
2021-04-01	B12	0.0121	0.018	0.0142	0.0164
2021-04-06	B01	0.8794	0.8432	0.7509	0.8449
2021-04-06	B02	0.804	0.8012	0.714	0.7584
2021-04-06	B03	0.7248	0.7032	0.6476	0.696
2021-04-06	B04	0.66	0.6392	0.5972	0.6488
2021-04-06	B05	0.6959	0.6645	0.638	0.7235
2021-04-06	B06	0.6676	0.6334	0.6125	0.7155
2021-04-06	B07	0.6574	0.6184	0.5955	0.7007
2021-04-06	B08	0.6364	0.6288	0.5736	0.6684
2021-04-06	B8A	0.65	0.607	0.5822	0.7063
2021-04-06	B11	0.5068	0.4741	0.4526	0.5866
2021-04-06	B12	0.42	0.3817	0.3609	0.5318
2021-04-11	B01	0.7816	0.7936	0.7916	0.984
2021-04-11	B02	0.7452	0.7308	0.7428	0.9216
2021-04-11	B03	0.6884	0.6756	0.6812	0.8584
2021-04-11	B04	0.6416	0.6332	0.6312	0.7972
2021-04-11	B05	0.6873	0.6913	0.691	0.8756
2021-04-11	B06	0.6424	0.6501	0.6506	0.8256
2021-04-11	B07	0.6133	0.6207	0.6184	0.8003
2021-04-11	B08	0.6304	0.622	0.6292	0.808
2021-04-11	B8A	0.5903	0.5954	0.5939	0.7699
2021-04-11	B11	0.2317	0.2309	0.2288	0.3962
2021-04-11	B12	0.1994	0.2029	0.2008	0.3837
2021-04-16	B01	0.1037	0.1082	0.111	0.1955
2021-04-16	B02	0.0891	0.0857	0.0979	0.188
2021-04-16	B03	0.0913	0.0897	0.1032	0.193
2021-04-16	B04	0.0813	0.0811	0.0938	0.1938
2021-04-16	B05	0.0946	0.0946	0.1129	0.2159
2021-04-16	B06	0.0997	0.1039	0.1408	0.2451
2021-04-16	B07	0.1096	0.1094	0.1483	0.2668
2021-04-16	B08	0.1009	0.1013	0.1356	0.2518
2021-04-16	B8A	0.107	0.1153	0.1549	0.261
2021-04-16	B11	0.0789	0.0842	0.1069	0.176
2021-04-16	B12	0.0755	0.076	0.0943	0.1569
2021-04-21	B01	0.018	0.0123	0.0179	0.0608
2021-04-21	B02	0.0159	0.0292	0.027	0.0974
2021-04-21	B03	0.0199	0.0267	0.033	0.1556
2021-04-21	B04	0.0127	0.0225	0.0251	0.2202
2021-04-21	B05	0.0162	0.0307	0.0351	0.243
2021-04-21	B06	0.0122	0.0279	0.0402	0.21
2021-04-21	B07	0.0139	0.0263	0.0492	0.2264
2021-04-21	B08	0.0209	0.0494	0.0487	0.198
2021-04-21	B8A	0.017	0.0145	0.0393	0.1876
